Analytical,RK2,LeapFrog
1.73647e-22,1.92788e-22,1.92788e-22
2.45952e-22,2.67126e-22,3.85576e-22
1.74719e-22,1.59146e-22,3.41464e-22
1.51874e-24,-7.18234e-23,8.75548e-23
-1.72568e-22,-2.73684e-22,-2.20149e-22
-2.45943e-22,-3.00613e-22,-3.92592e-22
-1.75784e-22,-1.17016e-22,-3.23824e-22
-3.03743e-24,1.66847e-22,-5.60974e-23
1.71482e-22,3.59241e-22,2.46096e-22
2.45924e-22,3.15169e-22,3.97087e-22
1.76843e-22,4.35536e-23,3.04105e-22
4.55599e-24,-2.84565e-22,2.42799e-23
-1.7039e-22,-4.41956e-22,-2.70463e-22
-2.45896e-22,-3.00951e-22,-3.99032e-22
-1.77895e-22,6.66687e-23,-2.82434e-22
-6.07439e-24,4.21729e-22,7.69356e-24
1.69292e-22,5.11385e-22,2.93094e-22
2.45858e-22,2.47043e-22,3.98416e-22
1.78941e-22,-2.17344e-22,2.58949e-22
7.59255e-24,-5.71509e-22,-3.96176e-23
-1.68187e-22,-5.54024e-22,-3.13843e-22
-2.45812e-22,-1.42208e-22,-3.95241e-22
-1.79979e-22,4.09266e-22,-2.33801e-22
-9.11042e-24,7.22705e-22,7.12873e-23
1.67075e-22,5.53487e-22,3.32577e-22
2.45755e-22,-2.4001e-23,3.89529e-22
1.81011e-22,-6.38977e-22,2.07153e-22
1.06279e-23,-8.59097e-22,-1.02499e-22
-1.65958e-22,-4.91081e-22,-3.49175e-22
-2.4569e-22,2.59734e-22,-3.81316e-22
-1.82036e-22,8.97312e-22,-1.79174e-22
-1.21451e-23,9.59065e-22,1.33053e-22
1.64834e-22,3.4688e-22,3.63532e-22
2.45615e-22,-5.68939e-22,3.70655e-22
1.83054e-22,-1.16794e-21,1.50045e-22
1.36617e-23,-9.95654e-22,-1.62753e-22
-1.63703e-22,-1.01414e-22,-3.75555e-22
-2.4553e-22,9.49098e-22,-3.57614e-22
-1.84065e-22,1.42605e-21,-1.19953e-22
-1.51779e-23,9.3726e-22,1.91408e-22
1.62567e-22,-2.61969e-22,3.85166e-22
2.45437e-22,-1.3887e-21,3.42277e-22
1.85068e-22,-1.63748e-21,8.90908e-23
1.66934e-23,-7.49128e-22,-2.18833e-22
-1.61424e-22,7.54024e-22,-3.92305e-22
-2.45333e-22,1.8646e-21,-3.24742e-22
-1.86065e-22,1.75839e-21,-5.76564e-23
-1.82083e-23,3.95853e-22,2.44854e-22
1.60275e-22,-1.37585e-21,3.96925e-22
2.45221e-22,-2.33958e-21,3.05123e-22
1.87055e-22,-1.73601e-21,2.58518e-23
1.97226e-23,1.54958e-22,-2.69303e-22
-1.5912e-22,2.11456e-21,-3.98996e-22
-2.45099e-22,2.76034e-21,-2.83544e-22
-1.88037e-22,1.51059e-21,6.11875e-24
-2.1236e-23,-9.27769e-22,2.92022e-22
1.57959e-22,-2.93867e-21,3.98506e-22
2.44968e-22,-3.05647e-21,2.60145e-22
1.89013e-22,-1.01903e-21,-3.805e-23
