Analytical,RK2,LeapFrog,Boost-RKF,BOOST-Dopri5
9.27234e-25,9.27236e-25,9.27236e-25,1.92591e-23,0
1.85445e-24,1.85446e-24,1.85447e-24,3.83999e-23,1.22813e-23
2.78165e-24,2.78166e-24,2.78168e-24,5.73049e-23,2.52421e-23
3.7088e-24,3.70881e-24,3.70885e-24,7.5858e-23,3.99437e-23
4.63591e-24,4.63592e-24,4.63597e-24,9.39452e-23,5.58294e-23
5.56294e-24,5.56295e-24,5.56302e-24,1.11456e-22,7.23551e-23
6.4899e-24,6.48991e-24,6.48999e-24,1.28281e-22,8.85303e-23
7.41676e-24,7.41678e-24,7.41687e-24,1.4432e-22,1.04828e-22
8.34352e-24,8.34354e-24,8.34365e-24,1.59472e-22,1.2058e-22
9.27016e-24,9.27018e-24,9.2703e-24,1.73644e-22,1.36368e-22
1.01967e-23,1.01967e-23,1.01968e-23,1.8675e-22,1.51382e-22
1.1123e-23,1.11231e-23,1.11232e-23,1.9871e-22,1.66119e-22
1.20492e-23,1.20493e-23,1.20494e-23,2.09449e-22,1.79833e-22
1.29753e-23,1.29753e-23,1.29755e-23,2.18902e-22,1.92905e-22
1.39011e-23,1.39012e-23,1.39013e-23,2.27011e-22,2.04694e-22
1.48268e-23,1.48268e-23,1.4827e-23,2.33725e-22,2.15471e-22
1.57522e-23,1.57523e-23,1.57525e-23,2.39005e-22,2.24711e-22
1.66774e-23,1.66775e-23,1.66777e-23,2.42816e-22,2.32577e-22
1.76024e-23,1.76025e-23,1.76027e-23,2.45137e-22,2.3867e-22
1.85272e-23,1.85272e-23,1.85274e-23,2.45952e-22,2.42943e-22
1.94516e-23,1.94517e-23,1.94519e-23,2.45257e-22,2.45434e-22
2.03758e-23,2.03759e-23,2.03761e-23,2.43056e-22,2.45866e-22
2.12997e-23,2.12998e-23,2.13001e-23,2.39362e-22,2.44236e-22
2.22233e-23,2.22234e-23,2.22237e-23,2.34198e-22,2.40322e-22
2.31466e-23,2.31466e-23,2.3147e-23,2.27596e-22,2.34189e-22
2.40695e-23,2.40696e-23,2.40699e-23,2.19597e-22,2.25568e-22
2.49922e-23,2.49922e-23,2.49926e-23,2.10248e-22,2.14716e-22
2.59144e-23,2.59145e-23,2.59148e-23,1.99609e-22,2.01212e-22
2.68363e-23,2.68364e-23,2.68367e-23,1.87744e-22,1.85565e-22
2.77578e-23,2.77579e-23,2.77583e-23,1.74726e-22,1.67944e-22
2.86789e-23,2.8679e-23,2.86794e-23,1.60635e-22,1.48534e-22
2.95996e-23,2.95997e-23,2.96001e-23,1.45558e-22,1.30052e-22
3.05199e-23,3.052e-23,3.05204e-23,1.29587e-22,1.10487e-22
